SID,Name,GroupNM,Group,Trial,Probe,Response,Correct,RT
218,SJW,high,2,2,2,2,1,1.5094
218,SJW,high,2,3,2,2,1,1.4178
218,SJW,high,2,4,1,1,1,1.4838
218,SJW,high,2,5,1,1,1,1.0384
218,SJW,high,2,6,2,2,1,1.3319
218,SJW,high,2,7,1,1,1,1.2545
218,SJW,high,2,8,2,2,1,1.2589
218,SJW,high,2,9,2,2,1,1.1361
218,SJW,high,2,10,1,1,1,1.0373
218,SJW,high,2,11,2,2,1,1.3933
218,SJW,high,2,12,1,1,1,0.7929
221,PSK,high,2,1,1,2,0,1.2773
221,PSK,high,2,2,1,1,1,1.0573
221,PSK,high,2,3,1,1,1,0.6768
221,PSK,high,2,4,2,2,1,1.4966
221,PSK,high,2,5,1,1,1,0.8314
221,PSK,high,2,6,2,2,1,1.0908
221,PSK,high,2,7,2,2,1,1.1373
221,PSK,high,2,8,2,2,1,1.1094
221,PSK,high,2,9,2,2,1,0.9240
221,PSK,high,2,10,1,1,1,1.2030
221,PSK,high,2,11,2,2,1,0.9851
221,PSK,high,2,12,1,1,1,0.8626
222,LYS,high,2,1,1,1,1,1.4646
222,LYS,high,2,2,1,1,1,1.0228
222,LYS,high,2,3,1,1,1,0.8348
222,LYS,high,2,4,2,2,1,1.0453
222,LYS,high,2,5,1,1,1,0.9557
222,LYS,high,2,6,2,2,1,0.7023
222,LYS,high,2,7,2,2,1,1.0709
222,LYS,high,2,8,2,2,1,0.8186
222,LYS,high,2,9,2,2,1,0.7592
222,LYS,high,2,10,1,1,1,0.9755
222,LYS,high,2,11,2,2,1,0.8225
222,LYS,high,2,12,1,1,1,0.7323
219,LJH,high,2,1,2,2,1,1.2817
219,LJH,high,2,2,1,1,1,1.3501
219,LJH,high,2,3,2,2,1,1.0684
219,LJH,high,2,4,2,2,1,1.1071
219,LJH,high,2,5,2,2,1,1.2078
219,LJH,high,2,6,1,1,1,1.2439
219,LJH,high,2,7,1,1,1,1.8477
219,LJH,high,2,8,1,1,1,1.0514
219,LJH,high,2,9,2,2,1,0.9927
219,LJH,high,2,10,1,1,1,0.8514
219,LJH,high,2,11,2,2,1,0.8240
219,LJH,high,2,12,1,1,1,0.8926
220,PDJ,high,2,1,2,2,1,1.0283
220,PDJ,high,2,2,1,1,1,1.0354
220,PDJ,high,2,3,2,2,1,0.8465
220,PDJ,high,2,4,2,2,1,0.8880
220,PDJ,high,2,5,2,2,1,0.7308
220,PDJ,high,2,6,1,1,1,0.7678
220,PDJ,high,2,7,1,1,1,0.8588
220,PDJ,high,2,8,1,1,1,0.4474
220,PDJ,high,2,9,2,2,1,0.7083
220,PDJ,high,2,10,1,1,1,0.5351
220,PDJ,high,2,11,2,2,1,0.6035
220,PDJ,high,2,12,1,1,1,0.7699
231,BEY2,high,2,1,1,1,1,1.0116
231,BEY2,high,2,2,1,1,1,0.5689
231,BEY2,high,2,3,2,2,1,1.2439
231,BEY2,high,2,4,1,1,1,1.0182
231,BEY2,high,2,5,2,2,1,1.5680
231,BEY2,high,2,6,1,1,1,0.8057
231,BEY2,high,2,7,1,1,1,0.9798
231,BEY2,high,2,8,1,1,1,0.9207
231,BEY2,high,2,9,2,2,1,1.0876
231,BEY2,high,2,10,2,2,1,1.0778
231,BEY2,high,2,11,2,2,1,1.2419
231,BEY2,high,2,12,2,2,1,1.1851
232,JDY2,high,2,1,1,1,1,1.9304
232,JDY2,high,2,2,1,1,1,0.9439
232,JDY2,high,2,3,2,2,1,1.2674
232,JDY2,high,2,4,1,1,1,1.3636
232,JDY2,high,2,5,2,2,1,1.6556
232,JDY2,high,2,6,1,2,0,1.4362
232,JDY2,high,2,7,1,1,1,1.0036
232,JDY2,high,2,8,1,1,1,0.9441
232,JDY2,high,2,9,2,2,1,1.2376
232,JDY2,high,2,10,2,2,1,1.1645
232,JDY2,high,2,11,2,2,1,1.1690
232,JDY2,high,2,12,2,2,1,1.3033
233,KKT,high,2,1,2,0,0,0.0000
233,KKT,high,2,2,1,1,1,1.6053
233,KKT,high,2,3,1,1,1,1.2587
233,KKT,high,2,4,1,1,1,0.9252
233,KKT,high,2,5,1,1,1,0.8348
233,KKT,high,2,6,2,2,1,1.4167
233,KKT,high,2,7,1,1,1,0.9485
233,KKT,high,2,8,1,1,1,0.6956
233,KKT,high,2,9,2,2,1,1.1808
233,KKT,high,2,10,2,2,1,1.1389
233,KKT,high,2,11,2,2,1,1.1774
233,KKT,high,2,12,2,2,1,0.9258
234,KMS,high,2,1,2,2,1,1.7690
234,KMS,high,2,2,1,1,1,1.1069
234,KMS,high,2,3,1,1,1,1.1087
234,KMS,high,2,4,1,1,1,1.0316
234,KMS,high,2,5,1,1,1,0.8437
234,KMS,high,2,6,2,2,1,1.5852
234,KMS,high,2,7,1,1,1,0.9595
234,KMS,high,2,8,1,1,1,0.7713
234,KMS,high,2,9,2,2,1,1.0647
234,KMS,high,2,10,2,2,1,1.0844
234,KMS,high,2,11,2,2,1,1.2173
234,KMS,high,2,12,2,2,1,1.1605
237,KBH,high,2,1,1,1,1,0.9921
237,KBH,high,2,2,2,1,0,1.0299
237,KBH,high,2,3,2,2,1,0.9725
237,KBH,high,2,4,1,1,1,0.8265
237,KBH,high,2,5,1,1,1,0.8332
237,KBH,high,2,6,2,2,1,1.1258
237,KBH,high,2,7,1,1,1,0.8424
237,KBH,high,2,8,2,2,1,1.1368
237,KBH,high,2,9,1,1,1,0.9823
237,KBH,high,2,10,2,2,1,1.5551
